Dataset	ScanNumber	ScanTime	ScanType	TotalIonIntensity	BasePeakIntensity	BasePeakMZ	BasePeakSignalToNoiseRatio	IonCount	IonCountRaw	ScanTypeName	DriftTime
0	105	0.0329	1	1857	35	4377.1	0	194	194	HMS	11.4664
0	106	0.0329	1	1174	34	4085.8	0	122	122	HMS	11.5766
0	107	0.0329	1	1556	32	3572.4	0	169	169	HMS	11.6869
0	108	0.0329	1	1080	31	4873.2	0	113	113	HMS	11.7971
0	109	0.0329	1	936	32	4796.8	0	109	109	HMS	11.9074
0	110	0.0329	1	837	35	4680.7	0	85	85	HMS	12.0176
0	111	0.0329	1	712	25	4482.9	0	76	76	HMS	12.1279
0	112	0.0329	1	774	33	1415.8	0	76	76	HMS	12.2381
0	113	0.0329	1	478	33	4421.6	0	51	51	HMS	12.3484
0	114	0.0329	1	486	18	4574.3	0	58	58	HMS	12.4587
0	115	0.0329	1	269	21	4716.9	0	32	32	HMS	12.5689
0	116	0.0329	1	245	18	4764.4	0	29	29	HMS	12.6792
0	117	0.0329	1	348	43	4881	0	34	34	HMS	12.7894
0	118	0.0329	1	221	16	4605.7	0	27	27	HMS	12.8997
0	119	0.0329	1	81	18	2553.1	0	10	10	HMS	13.0099
0	120	0.0329	1	155	21	3981.7	0	20	20	HMS	13.1202
0	121	0.0329	1	101	29	1607.8	0	11	11	HMS	13.2304
0	122	0.0329	1	110	16	4969.5	0	15	15	HMS	13.3407
0	123	0.0329	1	111	29	1665.8	0	12	12	HMS	13.4509
0	124	0.0329	1	116	18	3808	0	10	10	HMS	13.5612
0	125	0.0329	1	127	33	4630.3	0	11	11	HMS	13.6714
0	126	0.0329	1	28	9	554.74	0	4	4	HMS	13.7817
0	127	0.0329	1	83	20	1702.6	0	8	8	HMS	13.892
0	128	0.0329	1	93	18	711.65	0	9	9	HMS	14.0022
0	129	0.0329	1	13	9	1668.6	0	2	2	HMS	14.1125
0	130	0.0329	1	13	9	3429.8	0	2	2	HMS	14.2227
0	131	0.0329	1	38	15	1738.7	0	4	4	HMS	14.333
0	132	0.0329	1	43	20	310.71	0	4	4	HMS	14.4432
0	135	0.0329	1	31	15	1759.7	0	3	3	HMS	14.774
0	137	0.0329	1	105	18	1764.8	0	10	10	HMS	14.9945
0	138	0.0329	1	26	9	280.57	0	4	4	HMS	15.1047
0	141	0.0329	1	15	11	1733.9	0	2	2	HMS	15.4355
0	142	0.0329	1	14	7	3691.7	0	2	2	HMS	15.5458
0	143	0.0329	1	33	19	287.07	0	3	3	HMS	15.656
0	145	0.0329	1	24	14	55.792	0	2	2	HMS	15.8765
0	146	0.0329	1	13	9	64.222	0	2	2	HMS	15.9868
0	147	0.0329	1	30	16	2047.7	0	3	3	HMS	16.097
0	148	0.0329	1	34	12	155.25	0	4	4	HMS	16.2073
0	149	0.0329	1	13	9	92.324	0	2	2	HMS	16.3175
0	150	0.0329	1	20	14	4220.8	0	2	2	HMS	16.4278
0	151	0.0329	1	16	8	51.107	0	2	2	HMS	16.538
0	152	0.0329	1	15	9	363.07	0	2	2	HMS	16.6483
0	153	0.0329	1	41	19	168.74	0	4	4	HMS	16.7585
0	154	0.0329	1	23	17	70.885	0	2	2	HMS	16.8688
0	155	0.0329	1	16	16	93.896	0	1	1	HMS	16.9791
0	157	0.0329	1	88	21	93.976	0	10	10	HMS	17.1996
0	158	0.0329	1	61	12	130.22	0	8	8	HMS	17.3098
0	159	0.0329	1	29	14	113.17	0	3	3	HMS	17.4201
0	160	0.0329	1	87	17	131.97	0	10	10	HMS	17.5303
0	162	0.0329	1	53	18	125.25	0	6	6	HMS	17.7508
0	163	0.0329	1	15	15	136.95	0	1	1	HMS	17.8611
0	165	0.0329	1	27	25	2086.6	0	2	2	HMS	18.0816
0	166	0.0329	1	44	11	94.125	0	6	6	HMS	18.1918
0	167	0.0329	1	28	9	138.95	0	4	4	HMS	18.3021
0	168	0.0329	1	58	19	174.85	0	6	6	HMS	18.4123
0	169	0.0329	1	33	12	2278.6	0	4	4	HMS	18.5226
0	170	0.0329	1	28	9	119.59	0	4	4	HMS	18.6329
0	172	0.0329	1	13	9	2989.4	0	2	2	HMS	18.8534
0	173	0.0329	1	13	9	4574.6	0	2	2	HMS	18.9636
