Dataset	ScanNumber	Ion Injection Time (ms)	Scan Segment	Scan Event	Charge State	Monoisotopic M/Z	Collision Mode	Scan Filter Text
0	1866							FTMS + p NSI Full ms [400.00-2000.00]
0	1877							FTMS + p NSI Full ms [400.00-2000.00]
0	1888							FTMS + p NSI Full ms [400.00-2000.00]
0	1899							FTMS + p NSI Full ms [400.00-2000.00]
0	1910							FTMS + p NSI Full ms [400.00-2000.00]
0	1921							FTMS + p NSI Full ms [400.00-2000.00]
0	1932							FTMS + p NSI Full ms [400.00-2000.00]
0	1943							FTMS + p NSI Full ms [400.00-2000.00]
0	1954							FTMS + p NSI Full ms [400.00-2000.00]
0	1965							FTMS + p NSI Full ms [400.00-2000.00]
0	1976							FTMS + p NSI Full ms [400.00-2000.00]
0	1987							FTMS + p NSI Full ms [400.00-2000.00]
0	1998							FTMS + p NSI Full ms [400.00-2000.00]
0	2009							FTMS + p NSI Full ms [400.00-2000.00]
0	2020							FTMS + p NSI Full ms [400.00-2000.00]
0	2031							FTMS + p NSI Full ms [400.00-2000.00]
0	2042							FTMS + p NSI Full ms [400.00-2000.00]
0	2053							FTMS + p NSI Full ms [400.00-2000.00]
0	2064							FTMS + p NSI Full ms [400.00-2000.00]
0	2075							FTMS + p NSI Full ms [400.00-2000.00]
0	2086							FTMS + p NSI Full ms [400.00-2000.00]
0	2097							FTMS + p NSI Full ms [400.00-2000.00]
0	2108							FTMS + p NSI Full ms [400.00-2000.00]
0	2119							FTMS + p NSI Full ms [400.00-2000.00]
0	2130							FTMS + p NSI Full ms [400.00-2000.00]
0	2141							FTMS + p NSI Full ms [400.00-2000.00]
0	2152							FTMS + p NSI Full ms [400.00-2000.00]
0	2163							FTMS + p NSI Full ms [400.00-2000.00]
0	2174							FTMS + p NSI Full ms [400.00-2000.00]
0	2185							FTMS + p NSI Full ms [400.00-2000.00]
0	2196							FTMS + p NSI Full ms [400.00-2000.00]
0	2207							FTMS + p NSI Full ms [400.00-2000.00]
0	2218							FTMS + p NSI Full ms [400.00-2000.00]
